DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3533,3312.4514,0,0.0045,2.6445,1623.8448,1,0.9523
3533.1499,3326.9016,0,0.005,2.6417,1626.6273,1,0.9427
3533.3,3346.2461,0,0.0022,2.6445,1638.4641,1,0.9427
3533.45,3348.3689,0,0,2.6468,1658.509,1,0.9408
3533.6001,3348.5435,0,0,2.647,1690.606,1,0.9334
3533.75,3362.9185,0,0.0018,2.6417,1738.3729,1,0.8858
3533.8999,3409.9851,0,0.0082,2.6405,1772.7046,1,0.8087
3534.05,3463.5999,0,0.0154,2.6407,1801.5302,1,0.7271
3534.2,3488.7532,0,0.0175,2.6386,1809.0621,1,0.6656
3534.3501,3490.7727,0,0.0176,2.6304,1816.5044,1,0.6267
3534.5,3490.832,0,0.0176,2.6221,1817.5939,1,0.6006
3534.6499,3490.7676,0,0.0176,2.617,1811.6727,1,0.6102
3534.8,3490.582,0,0.0176,2.6194,1797.7742,1,0.6283
3534.95,3491.7351,0,0.0176,2.6257,1785.1061,1,0.6859
3535.1001,3496.2283,0,0.0176,2.6307,1784.735,1,0.6778
3535.25,3506.9114,0,0.0176,2.631,1797.5538,1,0.6558
3535.3999,3530.0171,0,0.0176,2.6318,1804.5952,1,0.6397
3535.55,3539.5784,0,0.0176,2.6327,1807.8143,1,0.6901
3535.7,3547.8926,0,0.0176,2.6351,1810.0179,1,0.7787
3535.8501,3589.075,0,0.0176,2.6395,1825.8241,1,0.8305
3536,3619.3816,0,0.0176,2.6493,1829.7352,1,0.8107
3536.1499,3615.7258,0,0.0176,2.6511,1829.9756,1,0.709
3536.3,3600.5,0,0.0176,2.6545,1829.2617,1,0.6891
3536.45,3594.9138,0,0.0176,2.6466,1825.5591,1,0.6299
3536.6001,3587.814,0,0.0176,2.6414,1819.7217,1,0.6704
3536.75,3458.8733,0,0.0176,2.6252,1786.5688,1,0.7045
3536.8999,3396.741,0,0.0176,2.6205,1773.2784,1,0.8212
3537.05,3165.5122,0,0.0176,2.6237,1746.0376,1,0.8721
3537.2,3144.5483,0,0.0176,2.6188,1733.7218,1,0.8793
3537.3501,3200.2649,0,0.0176,2.6229,1709.3329,1,0.8584
3537.5,3247.4041,0,0.0176,2.6161,1708.6857,1,0.7578
3537.6499,3389.6782,0,0.0176,2.6193,1716.8915,1,0.6985
3537.8,3442.9109,0,0.0176,2.6175,1721.7722,1,0.7444
3537.95,3518.5317,0,0.0176,2.6291,1727.4203,1,0.7707
3538.1001,3526.7478,0,0.0176,2.6335,1733.8879,1,0.7797
3538.25,3515.0457,0,0.0176,2.631,1720.3461,1,0.6837
3538.3999,3517.1826,0,0.0176,2.6298,1706.6188,1,0.6751
3538.55,3506.9285,0,0.0176,2.6264,1684.9236,1,0.6918
3538.7,3498.3186,0,0.0176,2.6228,1681.5697,1,0.76
3538.8501,3451.3967,0,0.0176,2.6168,1683.9589,1,0.7836
3539,3418.6848,0,0.0176,2.6204,1681.1746,1,0.8089
3539.1499,3418.9465,0,0.0176,2.6322,1670.3777,1,0.8218
3539.3,3418.1294,0,0.0176,2.6309,1656.8368,1,0.8318
3539.45,3407.9055,0,0.0176,2.629,1641.9949,1,0.7763
3539.6001,3361.5525,0,0.0176,2.63,1636.157,1,0.7389
3539.75,3336.3091,0,0.0176,2.6307,1636.4089,1,0.7117
3539.8999,3340.1016,0,0.0176,2.633,1606.549,1,0.7576
3540.05,3348.5483,0,0.0176,2.6314,1559.6558,1,0.7661
3540.2,3354.1968,0,0.0176,2.6309,1516.6289,1,0.713
3540.3501,3350.207,0,0.0176,2.6284,1502.8977,1,0.6677
3540.5,3345.189,0,0.0176,2.631,1503.6785,1,0.6954
3540.6499,3350.0459,0,0.0176,2.6354,1498.9227,1,0.7947
3540.8,3365.5942,0,0.0176,2.6304,1494.5984,1,0.8618
3540.95,3363.5593,0,0.0122,2.6279,1496.8291,1,0.8916
3541.1001,3355.8254,0,0.0126,2.6299,1506.0537,1,0.8821
3541.25,3357.1348,0,0.0172,2.628,1509.3994,1,0.8772
3541.3999,3352.9722,0,0.0228,2.6177,1507.816,1,0.8829
3541.55,3345.4194,0,0.0239,2.6126,1502.9434,1,0.888
3541.7,3335.1812,0,0.0213,2.623,1504.9276,1,0.8791
3541.8501,3316.7954,0,0.0269,2.6353,1514.0377,1,0.8215
3542,3300.9309,0,0.0348,2.636,1512.8529,1,0.7726
3542.1499,3299.1946,0,0.0366,2.63,1498.7424,1,0.7623
3542.3,3299.1021,0,0.0338,2.6269,1482.8424,1,0.7701
3542.45,3295.0337,0,0.0272,2.6305,1479.0679,1,0.8054
3542.6001,3298.7168,0,0.0233,2.6331,1481.0087,1,0.8357
3542.75,3305.5598,0,0.0283,2.627,1476.0167,1,0.8239
3542.8999,3318.7412,0,0.0383,2.6172,1467.7396,1,0.7758
3543.05,3326.1382,0,0.0449,2.6055,1463.2559,1,0.7436
3543.2,3316.8533,0,0.0449,2.6049,1462.9746,1,0.7338
3543.3501,3315.6655,0,0.0424,2.6119,1463.7833,1,0.7296
3543.5,3318.9626,0,0.0376,2.619,1466.4172,1,0.754
3543.6499,3321.9473,0,0.0365,2.6198,1468.2461,1,0.762
3543.8,3322.0776,0,0.0388,2.6158,1465.1946,1,0.7833
3543.95,3328.1084,0,0.0386,2.6189,1458.5125,1,0.7965
3544.1001,3329.5696,0,0.0364,2.6254,1449.179,1,0.8203
3544.25,3329.061,0,0.0321,2.6222,1441.2072,1,0.8453
3544.3999,3327.9146,0,0.0343,2.6204,1438.7269,1,0.8126
3544.55,3326.2354,0,0.0366,2.6161,1456.5403,1,0.7703
3544.7,3325.4651,0,0.0327,2.6182,1474.4929,1,0.7982
3544.8501,3332.8108,0,0.0276,2.6185,1489.009,1,0.8437
3545,3354.2698,0,0.0286,2.6178,1484.9581,1,0.8364
3545.1499,3394.1731,0,0.0348,2.627,1484.1128,1,0.7435
3545.3,3420.792,0,0.0388,2.6283,1490.2997,1,0.6879
3545.45,3441.0161,0,0.0377,2.6308,1489.246,1,0.6705
3545.6001,3437.22,0,0.0305,2.6352,1483.4073,1,0.6979
3545.75,3406.2585,0,0.0282,2.6309,1480.5387,1,0.7587
3545.8999,3378.0552,0,0.0278,2.6324,1488.0127,1,0.7663
3546.05,3351.3882,0,0.0343,2.6228,1510.6617,1,0.7516
3546.2,3347.8928,0,0.0257,2.6349,1520.1833,1,0.7701
3546.3501,3360.6431,0,0.0141,2.6427,1526.9489,1,0.8198
3546.5,3369.3594,0,0.0064,2.6413,1525.9552,1,0.8569
3546.6499,3382.9802,0,0.0166,2.6353,1518.7,1,0.7585
3546.8,3385.1672,0,0.0138,2.6253,1519.9344,1,0.7778
3546.95,3387.2021,0,0.0202,2.6292,1522.1427,1,0.6998
3547.1001,3383.4041,0,0.0162,2.6224,1522.4592,1,0.7371
3547.25,3367.3911,0,0.0226,2.6213,1516.0873,1,0.7215
3547.3999,3363.8672,0,0.0177,2.6209,1509.3163,1,0.7781
3547.55,3334.8269,0,0.0269,2.618,1506.7288,1,0.7655
3547.7,3331.3706,0,0.034,2.613,1503.3163,1,0.7541
3547.8501,3336.082,0,0.0401,2.6107,1503.0392,1,0.7439
3548,3334.3596,0,0.036,2.6175,1502.1183,1,0.7689
